,Rank,Name,Worth,Rise/Fall,Source of wealth
397,396 , Lord Alliance and family ,330000000.0,62000000.0,Mail order and Textiles
398,398,Daniel Levy and family ,329000000.0,New,Football
399,399 , Ian MacKechnie and family ,325000000.0,57000000.0,Financial services
400,399 , Jim and Fitri Hay ,325000000.0,0,Oil and Horseracing
401,399 , Sir Angus and Flure Grossart and family ,325000000.0,121000000.0,Finance
402,402 , Sir John and Peter Beckwith ,323000000.0,20000000.0,Property and Finance
403,403 , Lord Iliffe and family ,322000000.0,15000000.0,Media and Property
404,404 , Peter Lammer ,321000000.0,12000000.0,Software
405,404 , Sharan Pasricha ,321000000.0,23000000.0,Hotels
406,406 , Jan Hruska ,320000000.0,16000000.0,Software
407,406 , Jason Bannister ,320000000.0,42000000.0,Furniture
408,408 , Tony and Christina Quinn ,319000000.0,11000000.0,Pet food
409,409 , Damien Hirst ,315000000.0,0,Art
410,409 , Erik Penser ,315000000.0,2000000.0,Finance
411,409 , Guillaume Fonkenell ,315000000.0,15000000.0,Hedge fund
412,409 , Nigel Wray ,315000000.0,0,Property and Food
413,413 , Hamid Guedroudj ,313000000.0,83000000.0,Software
414,413 , John Guthrie and family ,313000000.0,3000000.0,Property
415,415 , Paul Alexander and family ,312000000.0,53000000.0,Chemicals
416,416 , Eric Gadsden ,311000000.0,22000000.0,Property
417,416 , Tim Martin ,311000000.0,126000000.0,Hospitality
418,418 , Jeremy Coller ,310000000.0,10000000.0,Finance
419,418 , Mark Getty and family ,310000000.0,0,"Media, Oil and Inheritance"
420,418 , Neil Ostrer ,310000000.0,20000000.0,Finance
421,418 , Robert Earl ,310000000.0,0,Restaurants
422,418 , Sam and Dan Houser ,310000000.0,10000000.0,Games
423,418 , Tom Singh and family ,310000000.0,30000000.0,Fashion
424,418 , William Arah ,310000000.0,20000000.0,Finance
425,425 , Graham Tuckwell ,309000000.0,5000000.0,Finance
426,425 , Lord and Lady Haughey and family ,309000000.0,8000000.0,Business services
427,427 , Doug Gregory ,308000000.0,38000000.0,Furniture
428,427 , The Oughtred family ,308000000.0,98000000.0,Food
429,429 , Alan Gibbs ,304000000.0,3000000.0,Industry
430,429 , Eliasz Englander and family ,304000000.0,6000000.0,Property
431,429 , Greg Skinner ,304000000.0,152000000.0,Hedge fund
432,429 , Martin Andersson ,304000000.0,48000000.0,Finance
433,429 , Simon Borrows ,304000000.0,9000000.0,Finance
434,429 , Suneil Setiya ,304000000.0,152000000.0,Finance
435,435 , Sir Richard Sutton and family ,301000000.0,83000000.0,Land
436,436 , Bernard Rees Smith ,300000000.0,35000000.0,Healthcare and Property
437,436 , Duncan Bannatyne ,300000000.0,0,Fitness clubs and Hotels
438,436 , Firoz Kassam ,300000000.0,5000000.0,Hotels and Property
439,436 , James and Selina Hopkins ,300000000.0,7000000.0,Construction
440,436,Jeffrey Smith ,300000000.0,New,Property
441,436 , John Charman ,300000000.0,0,Insurance
442,436 , Lord Palumbo ,300000000.0,50000000.0,Entertainment
443,436 , Robert Barnett and family ,300000000.0,38000000.0,Food distribution and Packaging
444,436 , Sir Harry Djanogly and family ,300000000.0,0,Textiles
445,436 , Sir Paul Ruddock ,300000000.0,5000000.0,Hedge fund
446,436 , Terry Smith ,300000000.0,0,Finance
447,447 , James Benamor ,299000000.0,501000000.0,Finance
448,448 , Charles Rolls ,298000000.0,125000000.0,Drinks
449,449 , Tony Pidgley ,295000000.0,40000000.0,Construction
450,450 , Andrew Page ,293000000.0,120000000.0,Software
451,451 , Andrew and Christina Brownsword ,290000000.0,7000000.0,Greetings cards and Hotels
452,451 , Andrew Hill and family ,290000000.0,40000000.0,Construction
453,451 , Jonathan Milner ,290000000.0,25000000.0,Biotechnology
454,451 , Theo Paphitis ,290000000.0,11000000.0,Stationery and Lingerie
455,455 , David Hood ,287000000.0,4000000.0,Electronics and Aviation
456,456 , Alasdair Locke ,286000000.0,56000000.0,Oil services
457,456 , Bruce Craig ,286000000.0,3000000.0,Pharmaceuticals
458,458 , Alan Lewis ,285000000.0,9000000.0,Investment
459,458 , Lord Zac and Lady Annabel Goldsmith and family ,285000000.0,1000000.0,Inheritance
460,458 , Peter Davies ,285000000.0,5000000.0,Hedge fund
461,458 , Sir Mick Jagger ,285000000.0,10000000.0,Music
462,462 , Dean and Janet Hoyle ,284000000.0,1000000.0,Greetings cards
463,463 , Hilton Nathanson ,281000000.0,15000000.0,Hedge fund
464,463 , Tony Brotherton-Ratcliffe and Diana Jones and family ,281000000.0,21000000.0,Construction and Property
465,465 , Ayman Asfari and family ,280000000.0,100000000.0,Oil services
466,465 , Bart Becht ,280000000.0,0,Cleaning products
467,465 , Charles Wilson ,280000000.0,0,Cash and carry
468,465 , Greg Coffey ,280000000.0,7000000.0,Hedge fund
469,465 , Lisa and Tony Wilkinson and family ,280000000.0,75000000.0,Retailing
470,470 , John Jakes ,279000000.0,69000000.0,Lifts
471,471 , David Clowes ,277000000.0,25000000.0,Property
472,472 , Lord Heseltine and family ,276000000.0,5000000.0,Media
473,472 , Max and Stephen Griggs ,276000000.0,12000000.0,Footwear
474,474 , Amal and George Clooney ,275000000.0,5000000.0,"Drinks, Films and Law"
475,474 , Ed and Catherine Wray ,275000000.0,12000000.0,Gambling
476,474 , Paul and Johnny Caddick and family ,275000000.0,25000000.0,Construction and Rugby
477,474 , Stuart Roden ,275000000.0,5000000.0,Hedge fund
478,478 , Bill Robertson and family ,273000000.0,13000000.0,Construction
479,479 , Tom Martin and family ,272000000.0,49000000.0,Property
480,479 , Vernon and Shirley Hill ,272000000.0,35000000.0,Finance
481,481 , Keith Richards ,270000000.0,10000000.0,Music
482,481 , Mike Clare ,270000000.0,0,Bedding and Investment
483,481 , Olivia and Dhani Harrison ,270000000.0,20000000.0,Inheritance
484,481 ," Richard, Desmond and Eleanor Maybury ",270000000.0,0,Travel
485,481 , Sacha Mascolo-Tarbuck and Christian Mascolo and family ,270000000.0,5000000.0,Hairdressing
486,481 , Steve Gibson ,270000000.0,60000000.0,Transport
487,481 , The Walduck family ,270000000.0,20000000.0,Hotels
488,488 , Sir Martin Sorrell ,269000000.0,99000000.0,Advertising
489,489 , Edward Atkin and family ,267000000.0,0,Babycare products
490,490 , James Vernon ,266000000.0,10000000.0,Hedge fund
491,491 , Danny Sawrij ,265000000.0,25000000.0,Waste services
492,491 , Sir Malcolm Walker and family ,265000000.0,0,Frozen food
493,493 , Dai and Richard Walters ,264000000.0,24000000.0,Construction and Mining
494,494 , Eva Hamren-Larsson ,263000000.0,43000000.0,Inheritance
495,495 , James Watt ,262000000.0,0,Drinks
496,495 , Tony Fernandes ,262000000.0,325000000.0,Aviation
497,497 , Charles Wigoder and family ,260000000.0,24000000.0,Telecoms and Utilities
498,497 , Mike Edge ,260000000.0,5000000.0,Finance
499,497 , Niall Wall ,260000000.0,57000000.0,Packaging
500,497 , Sir Ringo Starr ,260000000.0,20000000.0,Music
501,501 , Bakir Cola and family ,259000000.0,9000000.0,Hotels
502,501 ," Bill, Tim and Polly Gredley and family ",259000000.0,18000000.0,Property and Horseracing
503,501 , David Mabey and family ,259000000.0,28000000.0,Construction
504,501 , Guy and Julia Hands ,259000000.0,6000000.0,Finance and Hotels
505,505 , Steven Ferguson ,256000000.0,6000000.0,Oil services and Gas services
506,506 , Joel and Danny Wyler ,255000000.0,13000000.0,Investment
507,507 , Oliver Cookson ,254000000.0,52000000.0,Health supplements
508,508 , Gordon Sanders and family ,253000000.0,3000000.0,Care homes
509,508 , The Duke of Buccleuch and family ,253000000.0,23000000.0,Land and Art
510,510 , Gary Widdowson ,251000000.0,10000000.0,Scrap metal and Property
511,511 , David Blood ,250000000.0,100000000.0,Finance
512,511 , Graeme and Yvonne Brooks ,250000000.0,0,Aviation
513,511 , Michael Gooch and family ,250000000.0,0,Finance
514,511 , Michael Gregory ,250000000.0,0,Engineering services
515,511 , Paddy McKillen and family ,250000000.0,46000000.0,Property
516,511 , Rodger Dudding ,250000000.0,0,Property
517,511 , Viscount Astor and family ,250000000.0,8000000.0,Property and Retailing
518,518 , Alex Langsam ,248000000.0,12000000.0,Hotels
519,518 , John Apthorp and family ,248000000.0,7000000.0,Food and Wine
520,518 , Steven Lamprell ,248000000.0,54000000.0,Oil services
521,521 , Lord Brownlow ,247000000.0,7000000.0,Business services
522,522 , Ted Fort ,245000000.0,5000000.0,Engineering
523,523 , Sir Paul and Lady Smith ,242000000.0,8000000.0,Fashion
524,524 , Paul Newey ,241000000.0,1000000.0,Finance
525,525 , David Reiss and family ,240000000.0,0,Fashion
526,526 , Duncan Sinclair and family ,238000000.0,5000000.0,Property
527,526 , Mark Watkin Jones and family ,238000000.0,62000000.0,Construction
528,528 , Pierre Lagrange ,237000000.0,2000000.0,Hedge fund and Fashion
529,529 , David and Heather Stevens ,236000000.0,24000000.0,Insurance
530,530 , Hugh Osmond ,232000000.0,46000000.0,Hospitality and Insurance
531,530 , Sir John Ritblat and family ,232000000.0,2000000.0,Property
532,532 , Sir Stanley and Peter Thomas ,231000000.0,3000000.0,"Food, Property and Transport"
533,533 , Malcolm Walker and family ,230000000.0,8000000.0,Plumbing and Internet retailing
534,533 , Martin Mills ,230000000.0,72000000.0,Music
535,533 , Neil Taylor and family ,230000000.0,0,"Games, Investment and Property"
536,533 , Victor Chandler ,230000000.0,0,Gambling
537,537 , Martin Dickie ,228000000.0,0,Drinks
538,537 , The Duke of Richmond and Gordon and family ,228000000.0,2000000.0,Land and Art
539,537 , The Slowe family ,228000000.0,1000000.0,Property
540,540 , Alan Tribe ,225000000.0,0,Retailing
541,540 , Nicolas Walewski ,225000000.0,10000000.0,Hedge fund
542,540 , Sebastian Knutsson ,225000000.0,5000000.0,Games
543,540 , Stuart Powers ,225000000.0,65000000.0,Hedge fund
544,540 , Vipul Thakrar and family ,225000000.0,11000000.0,Food
545,545 , Joe Hemani ,224000000.0,37000000.0,Business services
546,545 , Lewis Hamilton ,224000000.0,37000000.0,Motor racing
547,545 , Viscount Cowdray and the Pearson family ,224000000.0,16000000.0,Media and Land
548,548 , Gareth Williams ,223000000.0,0,Internet
549,548 , Nigel Piercey and family ,223000000.0,8000000.0,Medical supplies
550,548 , Noel Hayden ,223000000.0,7000000.0,Gambling
551,551 , Chris Levett ,222000000.0,3000000.0,Hedge fund
552,551 , Eric Herd and family ,222000000.0,1000000.0,Frozen food
553,551 , Keith Black and family ,222000000.0,18000000.0,Clothing and Fashion
554,554 , Robert Senior ,221000000.0,26000000.0,Business services
555,555 , David Babai ,220000000.0,0,Travel
556,555 , Lord Alli ,220000000.0,8000000.0,Media and Fashion
557,555 , Mark Steinberg ,220000000.0,10000000.0,Property
558,555 , Roger Guy ,220000000.0,0,Finance
559,555 , Sir Ronald Cohen and Sharon Harel ,220000000.0,0,Finance and Films
560,555 , Terence Cole ,220000000.0,10000000.0,Property
561,555 , Tom O'Brien and family ,220000000.0,20000000.0,Construction
562,562 , Rory Sweet ,219000000.0,1000000.0,Computers
563,562 , Sanjay Vadera and family ,219000000.0,38000000.0,Perfume
564,564 , Moni Varma ,218000000.0,0,Food
565,565 , Alexander Marr and family ,217000000.0,6000000.0,Fisheries
566,565 , Graham Peacock ,217000000.0,12000000.0,Fuel distribution
567,567 , Norman Springford and family ,216000000.0,12000000.0,Hotels
568,568 , Julian Metcalfe ,215000000.0,0,Sandwiches and Restaurants
569,568 , Kirti Patel and family ,215000000.0,50000000.0,Pharmaceuticals
570,568 , Peter FitzGerald and family ,215000000.0,10000000.0,Pharmaceuticals
571,568 , The Marquess of Bath ,215000000.0,0,Land and Art
572,572 , Rod and Sheila Flavell ,214000000.0,17000000.0,Business services
573,573 , Eoin McCann and family ,213000000.0,1000000.0,Construction
574,573 , Loïc Féry ,213000000.0,3000000.0,Hedge fund
575,573 , William Lloyd and family ,213000000.0,10000000.0,Animal feed and Poultry
576,576 , Chai Patel ,212000000.0,58000000.0,Healthcare
577,577 , Assem Allam and family ,210000000.0,0,Generators
578,577 , Catherine Zeta-Jones and Michael Douglas ,210000000.0,0,Films
579,577 , Koolesh Shah and family ,210000000.0,18000000.0,Hotels
580,577 , Martin Ainscough and family ,210000000.0,0,Construction equipment
581,577 , Richard Beattie ,210000000.0,0,Loyalty cards and Yachts
582,582 , Heinrich Feldman and family ,209000000.0,0,Property
583,583 , Anwar and Yakub Patel ,208000000.0,10000000.0,Pharmacies
584,583 , Keith Bradshaw and family ,208000000.0,11000000.0,Car sales and Care homes
585,583 , Sir Chris Evans ,208000000.0,0,Biotechnology
586,583 , Stephen and Paul Harrison ,208000000.0,41000000.0,Construction
587,583 , Susan Tobbell ,208000000.0,8000000.0,Fuel distribution
588,588 , Edward McAlpine and family ,207000000.0,5000000.0,Construction
589,589 , David Roberts and family ,206000000.0,9000000.0,Property and Art
590,589 , Frank Hester ,206000000.0,46000000.0,Software
591,589 , Michael Flatley ,206000000.0,2000000.0,Entertainment
592,589 , Sir Colin Giltrap ,206000000.0,3000000.0,Car sales
593,593 , Gavyn Davies and Baroness Susan Nye ,205000000.0,0,Finance
594,593 , Lord Archer ,205000000.0,5000000.0,Novels
595,593 , Mayank Patel ,205000000.0,0,Foreign exchange
596,593 , Sir Jonathan Ive ,205000000.0,13000000.0,Computers
597,593 , Sir Peter Harrison and family ,205000000.0,0,Computers
598,593 , William de Winton ,205000000.0,0,Hedge fund
599,599 , Robert Jelley and family ,204000000.0,12000000.0,Construction
600,600 , Sir John Mactaggart and family ,203000000.0,3000000.0,Property
601,601 , Elisabeth Salina Amorini ,202000000.0,2000000.0,Business services
602,601 , Leonard Russell and family ,202000000.0,50000000.0,Spirits and Brewing
603,601 , Nick Rodwell and Fanny Vlamynck ,202000000.0,2000000.0,Books
604,601 , Peter Gadsby ,202000000.0,0,Construction
605,601 , Sir Michael Bibby and family ,202000000.0,18000000.0,Shipping and Finance
606,606 , Andrew and Linda Leaver ,201000000.0,10000000.0,Pharmaceuticals
607,606 , Jeremy Isaacs ,201000000.0,1000000.0,Commodities
608,606 , Penny Streeter and family ,201000000.0,7000000.0,Recruitment
609,606 , Robin Clark and family ,201000000.0,6000000.0,Property
610,610 , Adam Norris ,200000000.0,48000000.0,Finance
611,610 , Alan Wells and family ,200000000.0,0,Opticians
612,610 , Arthur Landon ,200000000.0,0,Inheritance
613,610 , Chris Rea ,200000000.0,50000000.0,Engineering
614,610 , Dame Janet de Botton and family ,200000000.0,0,Art and Inheritance
615,610 , David Crossland and family ,200000000.0,0,Travel and Investment
616,610 , Ed Sheeran ,200000000.0,40000000.0,Music
617,610 , Ewan Kirk ,200000000.0,5000000.0,Hedge fund
618,610 , Gabriella di Nora and the Gosling family ,200000000.0,221000000.0,Inheritance
619,610 , Geoffrey Kent ,200000000.0,0,Travel
620,610 , Hugh Willis ,200000000.0,0,Hedge fund
621,610 , Iqbal Ahmed and family ,200000000.0,13000000.0,Food
622,610 , Jonathan Reeves ,200000000.0,0,Computers
623,610 , Michael and Chris Miller ,200000000.0,20000000.0,Property and Industry
624,610 , Noel and Valerie Moran ,200000000.0,78000000.0,Finance
625,610 , Ratheesan Yoganathan ,200000000.0,0,Telecoms
626,610 , Simon Dolan ,200000000.0,58000000.0,Business services
627,610 , Sir Rod Stewart ,200000000.0,10000000.0,Music
628,610 , Steven Blakey ,200000000.0,0,Finance
629,610 , Sting ,200000000.0,0,Music
630,610 , Trifon Natsis ,200000000.0,15000000.0,Hedge fund
631,631 , Mark Neale ,199000000.0,21000000.0,Clothing
632,631 , Roger Wickens and family ,199000000.0,25000000.0,Property
633,633 , Barrie Haigh ,198000000.0,1000000.0,Pharmaceuticals and Farming
634,633 , Lord Glendonbrook ,198000000.0,2000000.0,Aviation
635,633 , Michele Harriman-Smith and George Smith and family ,198000000.0,9000000.0,Internet retailing
636,636 , Dave Whelan and family ,197000000.0,13000000.0,Football and Sports equipment
637,636 , Nik and Monisha Kotecha and family ,197000000.0,7000000.0,Pharmaceuticals
638,638 , Angus Ball ,196000000.0,1000000.0,Insurance
639,638,Debbie Bestwick ,196000000.0,New,Games
640,640 , Andrew Staley ,195000000.0,40000000.0,Finance
641,640 , Douglas Woolf and family ,195000000.0,24000000.0,Property
642,640 , Julie Conlon and family ,195000000.0,11000000.0,Business services and Inheritance
643,640 , Michael Sherwood ,195000000.0,0,Finance
644,640 , Nigel Blackwell and family ,195000000.0,0,Books
645,645 ," Anthony, Patrick, Thomas and Liam Smyth ",194000000.0,10000000.0,Retailing
646,645 , Neil Utley ,194000000.0,6000000.0,Insurance
647,645 , Phil Cronin and family ,194000000.0,4000000.0,Bingo
648,645 , Sir Martin Laing and family ,194000000.0,7000000.0,Property and Construction
649,649 , Peter Horton and family ,193000000.0,14000000.0,Property
650,649,Richard Dick and family ,193000000.0,New,Property
651,651 , Anders Hedlund and family ,192000000.0,9000000.0,Stationery and Property
652,651 , George and Daphne Burnett ,192000000.0,6000000.0,Construction equipment
653,653 , The Goodliffe family ,191000000.0,19000000.0,Business services
654,654 , Alan Murphy ,190000000.0,0,Paper products and Property
655,654 , Brian May ,190000000.0,30000000.0,Music
656,654 , Ged Mason ,190000000.0,20000000.0,Recruitment
657,654 , Irving Weaver ,190000000.0,10000000.0,Construction
658,654 , John King ,190000000.0,0,Pharmaceuticals
659,654 , Roger Waters ,190000000.0,0,Music
660,654 , Sir John Timpson and family ,190000000.0,20000000.0,Shoe repairs and Key-cutting
661,654 , Tim Mead and family ,190000000.0,40000000.0,Food
662,662 , Martin George and family ,189000000.0,9000000.0,Food
663,663 , Amin Tejani and family ,188000000.0,15000000.0,Paper products
664,663 , Roger and Giles Bracewell ,188000000.0,17000000.0,Pet food
665,663 , The Duke of Marlborough ,188000000.0,0,Land and Art
666,666 , Dominic Silvester ,187000000.0,90000000.0,Insurance
667,667 , Andrew Goodsell ,186000000.0,7000000.0,Insurance and Travel
668,667 , Anthony Preston and family ,186000000.0,14000000.0,Pet shops
669,667 , James Hook and family ,186000000.0,13000000.0,Poultry
670,670 , David and Lucy Wernick and family ,185000000.0,20000000.0,Construction and Fashion
671,670 , Derek Coates ,185000000.0,5000000.0,Vitamins and Aviation
672,670 , George Robinson ,185000000.0,0,Hedge fund
673,670 , Robbie Williams ,185000000.0,10000000.0,Music
674,674 , Antony and Richard Joseph ,184000000.0,56000000.0,Household goods
675,674 , Jon Moulton ,184000000.0,1000000.0,Finance
676,674 , Michael Wright and family ,184000000.0,2000000.0,Travel
677,674 , William and Thomas Gatacre ,184000000.0,4000000.0,Retailing
678,678 , Douglas and Iain Anderson ,183000000.0,23000000.0,Plant hire
679,678 , Jeremy Peace ,183000000.0,1000000.0,Football
680,680 , Charles Davies ,182000000.0,0,Finance
681,680 , David Braben and Wendy Irvin-Braben ,182000000.0,50000000.0,Games
682,680 , Julian Dunkerton ,182000000.0,19000000.0,Fashion
683,680 , Michael and Chester Hunt and family ,182000000.0,3000000.0,Car sales and Property
684,684 , David McMullen and family ,181000000.0,8000000.0,Brewing
685,685 , Ben and Jos White ,180000000.0,10000000.0,Technology
686,685 , Calvin Harris ,180000000.0,15000000.0,Music
687,685 , Hugh Sloane ,180000000.0,0,Hedge fund
688,685 , Jack and Jim Dobson ,180000000.0,40000000.0,Meat
689,685 , Julie Heselden and family ,180000000.0,0,Defence equipment
690,685 , Nigel Morris ,180000000.0,0,Finance
691,685 , Richard Griffiths ,180000000.0,60000000.0,Finance
692,685 , Sir Euan Anstruther-Gough-Calthorpe and family ,180000000.0,1000000.0,Property
693,685 , Stephen and Peter Bond ,180000000.0,0,Aviation
694,694,Lee Wade and family ,179000000.0,New,Technology
695,695 , Brian Scowcroft and Janet Lefton ,178000000.0,13000000.0,Insurance and Property
696,695 , Gerald and Michael Coates and family ,178000000.0,41000000.0,Logistics
697,695 , Tarsem Dhaliwal ,178000000.0,0,Frozen food
698,698 , Andrew Thorpe and family ,177000000.0,15000000.0,Lighting
699,698 , Kishore Lulla and family ,177000000.0,43000000.0,Media
700,700 , Bruce Mickel and family ,176000000.0,9000000.0,Construction
701,700 , John Stone ,176000000.0,4000000.0,Finance
702,700 , Sir Philip Naylor-Leyland ,176000000.0,0,Land and Art
703,703 , Andrew Thirkill ,175000000.0,8000000.0,Finance and Media
704,703 , Eric Clapton ,175000000.0,0,Music and Art
705,703 , Lord Foster ,175000000.0,5000000.0,Architecture
706,703 , Robert Worsley ,175000000.0,0,Land
707,703 , Stephen Zinser ,175000000.0,0,Finance
708,708 , Derek Keys ,174000000.0,41000000.0,Auctions
709,709 , Douglas Park and family ,173000000.0,2000000.0,Transport and Car sales
710,709 , John Carey and family ,173000000.0,8000000.0,Construction
711,709 , Keith Morris ,173000000.0,0,Insurance
712,712 , Mark Hunter ,172000000.0,12000000.0,Software
713,712 , Robert Carter and family ,172000000.0,3000000.0,Construction
714,712 , Sir Peter Vardy and family ,172000000.0,15000000.0,Car sales
715,712 , Stuart Dawson and family ,172000000.0,7000000.0,Property
716,716 , Charles Montanaro and family ,171000000.0,8000000.0,Finance
717,716 , Joe Walker and family ,171000000.0,1000000.0,Biscuits
718,716 , Michael MacDonald ,171000000.0,1000000.0,Engineering
719,716 , Simon Clarke and the Leavesley family ,171000000.0,23000000.0,Property
720,716 , Stephen Cameron and family ,171000000.0,41000000.0,Pharmaceuticals
721,716 , The Dhamecha family ,171000000.0,11000000.0,Cash and carry and Property
722,722 , Andrew Vincent ,170000000.0,10000000.0,Software
723,722 , Christopher Nolan and Emma Thomas ,170000000.0,10000000.0,Films
724,722 , Cormac and Patrick Byrne ,170000000.0,0,Construction
725,722 , John Cotton and family ,170000000.0,12000000.0,Bedding
726,722 , Matthew Freud ,170000000.0,10000000.0,Media
727,722 , Michael Cannon ,170000000.0,0,Hospitality and Food
728,722 , Michael Freeman ,170000000.0,11000000.0,Energy services
729,722 , Michael Loughran and family ,170000000.0,10000000.0,Fuel distribution
730,722 , Nick Dhandsa and family ,170000000.0,0,Care homes
731,722 , Roger Taylor ,170000000.0,15000000.0,Music
732,722 , Rory McIlroy ,170000000.0,32000000.0,Golf
733,722 , Sir Graham Wylie ,170000000.0,0,Software
734,722 , Sir Tom Jones ,170000000.0,5000000.0,Music
735,722 , Stuart Monk and family ,170000000.0,11000000.0,Property
736,736 , George and Neil Morgan and family ,169000000.0,19000000.0,Electronics and Property
737,736 , Jonathan and Lesley Wild and family ,169000000.0,3000000.0,Tea and Coffee
738,738 , Guy Johnson ,168000000.0,2000000.0,Mobile phones
739,738 , Robert Tait and family ,168000000.0,8000000.0,Fishing
740,740 , Alan Jackson ,167000000.0,5000000.0,Mobile phones
741,740 , Jonathan Green ,167000000.0,0,Hedge fund
742,742 , Philip and Donna Berber ,166000000.0,0,Day trading
743,743 , Andrew Colin ,165000000.0,30000000.0,Education
744,743 , Charlie Watts ,165000000.0,10000000.0,Music
745,743 , Harry Dobson ,165000000.0,1000000.0,Mining and Football
746,743 , Lee Biggins ,165000000.0,15000000.0,Internet
747,743 , Lord Verjee ,165000000.0,0,Finance and Retailing
748,743 , Mark Hillery ,165000000.0,20000000.0,Hedge fund
749,743 , Noel and Mary Sweeney ,165000000.0,41000000.0,Construction
750,743 , Patrick Flannery and family ,165000000.0,36000000.0,Plant hire
751,751 , Keith Dawe ,164000000.0,17000000.0,Recruitment
752,751 , Tony and Barbara Laithwaite ,164000000.0,1000000.0,Wine
753,753 , Jeremy Hitchins and family ,163000000.0,11000000.0,Construction
754,753 , Paul Rooney ,163000000.0,17000000.0,Estate agency
755,753 , Peter Stephens ,163000000.0,9000000.0,Travel and Conferences
756,753 , Raj Sehgal and Sanjeev Mehan and family ,163000000.0,0,Fashion and Property
757,757 , Barbara Taylor Bradford ,162000000.0,2000000.0,Novels
758,757 , Demi Chervak and family ,162000000.0,10000000.0,Property
759,759 , Andrew Black ,161000000.0,1000000.0,Gambling
760,759 , Paul Murphy and family ,161000000.0,41000000.0,Scrap metal
761,759 , Philip Doye and family ,161000000.0,1000000.0,Business services
762,759 , Sir Keith Mills ,161000000.0,1000000.0,Loyalty cards
763,763 , Crohan O'Shea and family ,160000000.0,0,Construction
764,763 , Lord Fink ,160000000.0,0,Hedge fund and Hotels
765,763 , Nicolas and Jonathan Norton and family ,160000000.0,20000000.0,Jewellery and Antiques
766,763 , Norman Grundon and family ,160000000.0,15000000.0,Waste services
767,763 , Richard Russell ,160000000.0,25000000.0,Music
768,763 , Simon Karimzadeh and family ,160000000.0,0,Property
769,763 , Walter Scott ,160000000.0,1000000.0,Finance
770,770 , Chris Marshall and family ,159000000.0,10000000.0,Property
771,770 , Jonathan Ruffer ,159000000.0,8000000.0,Finance
772,770 , Michael Dwan ,159000000.0,4000000.0,Finance
773,770 , Raj Manak ,159000000.0,22000000.0,Construction
774,774 , Aaron and Tania Hillman and family ,158000000.0,19000000.0,Spirits
775,774 , Barry Hearn and family ,158000000.0,10000000.0,Sports promotion
776,774 , Duncan Cameron ,158000000.0,1000000.0,Internet
777,774 , Michael Cowan and family ,158000000.0,5000000.0,Finance
778,774 , Michael Modiano and family ,158000000.0,45000000.0,Textiles
779,774 , The Marquess of Bute ,158000000.0,10000000.0,Land and Art
780,780 , Christopher Maughan ,157000000.0,25000000.0,Clothing
781,780 , Sir Peter Michael ,157000000.0,5000000.0,Electronics and Investment
782,780 , Tommy Dreelan and family ,157000000.0,1000000.0,Oil services
783,783 , Brian and Alan Stannah and family ,156000000.0,1000000.0,Lifts
784,783,Jason Gissing ,156000000.0,New,Internet retailing
785,783,Jonathan Turner ,156000000.0,New,Fuel distribution and Hospitality
786,783 , Mark Sheppard and family ,156000000.0,19000000.0,Financial services
787,783 , Simon and Yu-Lin Wilson ,156000000.0,6000000.0,Games
788,788 , Brendan Kerr and family ,155000000.0,3000000.0,Demolition and Construction
789,788 , Michael Kent ,155000000.0,15000000.0,Eggs
790,788 , Peter Dean and family ,155000000.0,15000000.0,Eggs
791,788 , Sir Tim Rice ,155000000.0,2000000.0,Music
792,788 , The Simpson family ,155000000.0,5000000.0,Property
793,793 , Alan McIntosh ,153000000.0,22000000.0,Finance
794,793 , Darren Ridge ,153000000.0,7000000.0,Telecoms
795,793 , Harry Banks and family ,153000000.0,22000000.0,Mining
796,793 , Michael Chambers ,153000000.0,0,Publishing
797,793 , Sir Robert Ogden ,153000000.0,1000000.0,Property
798,793 , Tom Cross and family ,153000000.0,1000000.0,"Oil, Gas and Property"
799,799 , Brenda Salters and family ,152000000.0,2000000.0,Food and Drink distribution
800,799 , Joe Sloan and family ,152000000.0,2000000.0,Food and Drink distribution
801,799,Seamus and Daniella Shields ,152000000.0,New,Construction
802,802 , John Berkley and family ,151000000.0,1000000.0,Mobile homes and Property
803,802 , Peter Dubens ,151000000.0,31000000.0,Internet and Finance
804,802 , Rupert Hambro and family ,151000000.0,1000000.0,Finance
805,805 , Adele ,150000000.0,0,Music
806,805 , Angela Yeoman and family ,150000000.0,0,Aggregates
807,805 , Chris van der Kuyl ,150000000.0,0,Games
808,805 , Con Folkes and family ,150000000.0,29000000.0,Property
809,805 , David Pyott ,150000000.0,0,Pharmaceuticals
810,805 , Fred Story and family ,150000000.0,24000000.0,Construction
811,805 , Hermann Hauser ,150000000.0,0,Finance
812,805 , Irina Malandina ,150000000.0,0,Divorce
813,805 , Jake Shafran ,150000000.0,30000000.0,Business services
814,805 , Jeremy Woolridge and family ,150000000.0,0,Metals
815,805 , John Frieda ,150000000.0,0,Hairdressing
816,805 , John Griffin and family ,150000000.0,0,Transport
817,805 , John Morphet ,150000000.0,5000000.0,Caravan parks and Leisure
818,805 , Jonathan Thornton and family ,150000000.0,0,Pharmaceuticals
819,805 , Kirit and Meena Pathak ,150000000.0,0,Food
820,805 , Ozzy and Sharon Osbourne ,150000000.0,0,Music and Television
821,805 , Paddy Burns ,150000000.0,0,Games
